maintenance_id,repair_request_date,equipment_name,equipment_id,install_date,fault_type,fault_severity,fault_description,repair_status,repair_cost
M00022,2025-03-23,pc,EQUIP22668,2025-01-05,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 4 дней эксплуатации,В обработке,10000
M00023,2025-03-23,cisco_switch,EQUIP62415,2024-12-23,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 26 дней эксплуатации,Новая,0
M00024,2025-03-24,ip_phone,EQUIP20267,2025-01-14,software update,Средняя,Обнаружена software update после 2 дней эксплуатации,Решена,2000
M00025,2025-03-26,cisco_switch,EQUIP59397,2025-03-06,error log analysis,Высокая,Обнаружена error log analysis после 1 дней эксплуатации,Новая,1000
M00026,2025-03-28,scaner,EQUIP75959,2025-02-18,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 24 дней эксплуатации,Новая,10000
M00027,2025-03-28,cisco_router,EQUIP18026,2025-01-05,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 6 дней эксплуатации,Отклонена,0
M00028,2025-03-30,scaner,EQUIP16770,2025-02-14,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 1 дней эксплуатации,Новая,10000
M00029,2025-04-01,cisco_switch,EQUIP33495,2025-03-19,software update,Средняя,Обнаружена software update после 12 дней эксплуатации,Отклонена,5000
M00030,2025-04-03,printer,EQUIP36961,2025-03-29,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 15 дней эксплуатации,Отклонена,5000
M00031,2025-04-03,printer,EQUIP73678,2025-01-09,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 4 дней эксплуатации,В обработке,10000
M00032,2025-04-03,pc,EQUIP45804,2025-03-29,dust cleaning,Средняя,Обнаружена dust cleaning после 8 дней эксплуатации,Новая,10000
M00033,2025-04-03,pc,EQUIP60734,2025-01-31,dust cleaning,Низкая,Обнаружена dust cleaning после 25 дней эксплуатации,Новая,1000
M00034,2025-04-05,ip_phone,EQUIP15426,2025-03-20,port testing,Низкая,Обнаружена port testing после 26 дней эксплуатации,Отклонена,0
M00035,2025-04-06,cisco_switch,EQUIP53613,2025-02-05,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 19 дней эксплуатации,Отклонена,2000
M00036,2025-04-07,pc,EQUIP73738,2025-03-15,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 28 дней эксплуатации,Новая,5000
M00037,2025-04-08,nas,EQUIP26826,2025-01-14,dust cleaning,Средняя,Обнаружена dust cleaning после 3 дней эксплуатации,Решена,5000
M00038,2025-04-10,cisco_switch,EQUIP73488,2025-02-04,error log analysis,Средняя,Обнаружена error log analysis после 3 дней эксплуатации,В обработке,10000
M00039,2025-04-11,ip_phone,EQUIP60267,2025-03-20,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 16 дней эксплуатации,Отклонена,0
M00040,2025-04-13,cisco_router,EQUIP93169,2025-02-12,error log analysis,Низкая,Обнаружена error log analysis после 19 дней эксплуатации,Решена,10000
M00041,2025-04-13,printer,EQUIP40561,2025-02-28,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 27 дней эксплуатации,В обработке,1000
M00042,2025-04-15,printer,EQUIP14815,2025-02-24,software update,Низкая,Обнаружена software update после 21 дней эксплуатации,Решена,0
M00043,2025-04-15,cisco_switch,EQUIP61870,2025-03-06,dust cleaning,Средняя,Обнаружена dust cleaning после 26 дней эксплуатации,Решена,2000
M00044,2025-04-17,pc,EQUIP28438,2025-03-08,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 16 дней эксплуатации,Новая,10000
M00045,2025-04-19,cisco_switch,EQUIP74518,2025-01-20,software update,Низкая,Обнаружена software update после 10 дней эксплуатации,Новая,5000
M00046,2025-04-20,scaner,EQUIP42287,2025-01-31,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 17 дней эксплуатации,В обработке,1000
M00047,2025-04-21,nas,EQUIP24349,2025-02-23,error log analysis,Высокая,Обнаружена error log analysis после 5 дней эксплуатации,В обработке,1000
M00048,2025-04-22,pc,EQUIP80553,2025-03-03,error log analysis,Средняя,Обнаружена error log analysis после 13 дней эксплуатации,Новая,1000
M00049,2025-04-23,scaner,EQUIP48183,2025-03-23,error log analysis,Высокая,Обнаружена error log analysis после 14 дней эксплуатации,Отклонена,1000
M00050,2025-04-24,ip_phone,EQUIP72431,2025-04-05,software update,Низкая,Обнаружена software update после 9 дней эксплуатации,Новая,1000
M00051,2025-04-26,cisco_switch,EQUIP53477,2025-02-06,port testing,Высокая,Обнаружена port testing после 7 дней эксплуатации,Отклонена,0
M00052,2025-04-28,cisco_router,EQUIP86522,2025-03-08,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 8 дней эксплуатации,В обработке,10000
M00053,2025-04-30,ip_phone,EQUIP27998,2025-03-30,dust cleaning,Средняя,Обнаружена dust cleaning после 17 дней эксплуатации,Отклонена,2000
M00054,2025-04-30,cisco_switch,EQUIP14355,2025-03-14,software update,Низкая,Обнаружена software update после 30 дней эксплуатации,Решена,2000
M00055,2025-04-30,scaner,EQUIP59494,2025-03-16,software update,Низкая,Обнаружена software update после 12 дней эксплуатации,Решена,2000
M00056,2025-05-01,ip_phone,EQUIP43660,2025-03-31,port testing,Низкая,Обнаружена port testing после 6 дней эксплуатации,В обработке,0
M00057,2025-05-02,ip_phone,EQUIP85501,2025-03-30,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 15 дней эксплуатации,Новая,10000
M00058,2025-05-02,nas,EQUIP25107,2025-04-28,error log analysis,Средняя,Обнаружена error log analysis после 6 дней эксплуатации,Новая,2000
M00059,2025-05-04,printer,EQUIP49451,2025-03-09,software update,Высокая,Обнаружена software update после 5 дней эксплуатации,Решена,10000
M00060,2025-05-06,ip_phone,EQUIP40789,2025-02-12,error log analysis,Средняя,Обнаружена error log analysis после 27 дней эксплуатации,Отклонена,5000
M00061,2025-05-07,scaner,EQUIP36796,2025-04-11,error log analysis,Низкая,Обнаружена error log analysis после 16 дней эксплуатации,Новая,2000
M00062,2025-05-09,cisco_router,EQUIP20968,2025-02-19,software update,Средняя,Обнаружена software update после 23 дней эксплуатации,Решена,5000
M00063,2025-05-11,pc,EQUIP77686,2025-04-23,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 19 дней эксплуатации,В обработке,1000
M00064,2025-05-13,printer,EQUIP60886,2025-03-26,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 21 дней эксплуатации,Решена,2000
M00065,2025-05-14,nas,EQUIP76969,2025-02-23,error log analysis,Средняя,Обнаружена error log analysis после 19 дней эксплуатации,Отклонена,1000
M00066,2025-05-16,printer,EQUIP59770,2025-03-12,port testing,Высокая,Обнаружена port testing после 12 дней эксплуатации,Новая,5000
M00067,2025-05-17,cisco_router,EQUIP94697,2025-02-21,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 15 дней эксплуатации,Решена,1000
M00068,2025-05-18,scaner,EQUIP64786,2025-02-19,port testing,Низкая,Обнаружена port testing после 13 дней эксплуатации,В обработке,0
M00069,2025-05-19,nas,EQUIP74140,2025-02-20,dust cleaning,Высокая,Обнаружена dust cleaning после 4 дней эксплуатации,Решена,0
M00070,2025-05-19,scaner,EQUIP17387,2025-03-08,software update,Средняя,Обнаружена software update после 10 дней эксплуатации,Отклонена,2000
M00071,2025-05-21,scaner,EQUIP30312,2025-03-14,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 20 дней эксплуатации,Отклонена,2000
M00072,2025-05-22,pc,EQUIP40854,2025-03-05,dust cleaning,Средняя,Обнаружена dust cleaning после 6 дней эксплуатации,Решена,2000
M00073,2025-05-24,cisco_router,EQUIP80876,2025-02-26,software update,Низкая,Обнаружена software update после 29 дней эксплуатации,Отклонена,5000
M00074,2025-05-26,printer,EQUIP52520,2025-04-30,software update,Высокая,Обнаружена software update после 4 дней эксплуатации,Отклонена,0
M00075,2025-05-28,cisco_switch,EQUIP94000,2025-04-05,port testing,Высокая,Обнаружена port testing после 2 дней эксплуатации,Новая,1000
M00076,2025-05-29,nas,EQUIP85642,2025-05-18,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 5 дней эксплуатации,Новая,5000
M00077,2025-05-30,ip_phone,EQUIP48425,2025-04-13,error log analysis,Низкая,Обнаружена error log analysis после 2 дней эксплуатации,В обработке,1000
M00078,2025-05-30,scaner,EQUIP41330,2025-05-18,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 23 дней эксплуатации,Отклонена,10000
M00079,2025-05-31,scaner,EQUIP46402,2025-03-31,port testing,Высокая,Обнаружена port testing после 27 дней эксплуатации,В обработке,0
M00080,2025-06-01,printer,EQUIP56583,2025-05-23,port testing,Низкая,Обнаружена port testing после 18 дней эксплуатации,В обработке,2000
M00081,2025-06-01,scaner,EQUIP44550,2025-04-06,dust cleaning,Средняя,Обнаружена dust cleaning после 24 дней эксплуатации,Новая,0
M00082,2025-06-02,ip_phone,EQUIP16017,2025-03-25,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 26 дней эксплуатации,Новая,5000
M00083,2025-06-03,printer,EQUIP30714,2025-04-30,error log analysis,Высокая,Обнаружена error log analysis после 3 дней эксплуатации,Новая,1000
M00084,2025-06-04,cisco_router,EQUIP31152,2025-03-29,dust cleaning,Высокая,Обнаружена dust cleaning после 6 дней эксплуатации,Решена,10000
M00085,2025-06-05,ip_phone,EQUIP63276,2025-04-23,port testing,Средняя,Обнаружена port testing после 12 дней эксплуатации,Решена,1000
M00086,2025-06-06,ip_phone,EQUIP57187,2025-05-22,port testing,Средняя,Обнаружена port testing после 13 дней эксплуатации,В обработке,10000
M00087,2025-06-07,pc,EQUIP60994,2025-04-13,software update,Высокая,Обнаружена software update после 8 дней эксплуатации,Решена,0
M00088,2025-06-08,pc,EQUIP12380,2025-03-11,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 9 дней эксплуатации,В обработке,0
M00089,2025-06-09,scaner,EQUIP52623,2025-05-03,error log analysis,Средняя,Обнаружена error log analysis после 8 дней эксплуатации,В обработке,10000
M00090,2025-06-11,scaner,EQUIP51642,2025-05-25,dust cleaning,Высокая,Обнаружена dust cleaning после 16 дней эксплуатации,Новая,0
M00091,2025-06-12,ip_phone,EQUIP12694,2025-04-04,port testing,Высокая,Обнаружена port testing после 15 дней эксплуатации,Решена,5000
M00092,2025-06-12,pc,EQUIP97046,2025-04-07,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 30 дней эксплуатации,В обработке,5000
M00093,2025-06-12,pc,EQUIP13866,2025-05-16,port testing,Высокая,Обнаружена port testing после 12 дней эксплуатации,Отклонена,1000
M00094,2025-06-13,scaner,EQUIP84961,2025-04-13,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 9 дней эксплуатации,Отклонена,1000
M00095,2025-06-15,ip_phone,EQUIP94538,2025-04-02,software update,Высокая,Обнаружена software update после 15 дней эксплуатации,Отклонена,5000
M00096,2025-06-15,cisco_switch,EQUIP73587,2025-04-05,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 21 дней эксплуатации,Новая,5000
M00097,2025-06-15,cisco_router,EQUIP77923,2025-04-26,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 16 дней эксплуатации,Решена,5000
M00098,2025-06-17,scaner,EQUIP12261,2025-04-21,software update,Средняя,Обнаружена software update после 7 дней эксплуатации,Новая,2000
M00099,2025-06-17,cisco_router,EQUIP82603,2025-03-25,error log analysis,Средняя,Обнаружена error log analysis после 10 дней эксплуатации,Отклонена,2000
M00100,2025-06-18,cisco_router,EQUIP78014,2025-05-10,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 19 дней эксплуатации,Отклонена,5000
M00101,2025-06-20,printer,EQUIP18696,2025-04-01,port testing,Высокая,Обнаружена port testing после 15 дней эксплуатации,В обработке,2000
M00102,2025-06-21,printer,EQUIP83803,2025-05-29,dust cleaning,Средняя,Обнаружена dust cleaning после 5 дней эксплуатации,Новая,2000
M00103,2025-06-23,ip_phone,EQUIP95417,2025-05-26,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 21 дней эксплуатации,Новая,5000
M00104,2025-06-23,printer,EQUIP56380,2025-06-11,error log analysis,Высокая,Обнаружена error log analysis после 24 дней эксплуатации,Отклонена,5000
M00105,2025-06-23,scaner,EQUIP95364,2025-04-17,error log analysis,Высокая,Обнаружена error log analysis после 8 дней эксплуатации,В обработке,1000
M00106,2025-06-23,nas,EQUIP82178,2025-05-20,port testing,Низкая,Обнаружена port testing после 18 дней эксплуатации,Отклонена,2000
M00107,2025-06-24,nas,EQUIP35732,2025-04-21,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 13 дней эксплуатации,Решена,2000
M00108,2025-06-24,printer,EQUIP92058,2025-04-16,port testing,Высокая,Обнаружена port testing после 20 дней эксплуатации,В обработке,10000
M00109,2025-06-25,printer,EQUIP75075,2025-06-11,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 2 дней эксплуатации,В обработке,10000
M00110,2025-06-25,printer,EQUIP57851,2025-06-03,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 14 дней эксплуатации,В обработке,1000
M00111,2025-06-26,scaner,EQUIP71800,2025-05-10,dust cleaning,Низкая,Обнаружена dust cleaning после 22 дней эксплуатации,Новая,2000
M00112,2025-06-27,nas,EQUIP90573,2025-05-26,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 27 дней эксплуатации,Решена,2000
M00113,2025-06-27,pc,EQUIP12588,2025-04-15,error log analysis,Средняя,Обнаружена error log analysis после 24 дней эксплуатации,В обработке,5000
M00114,2025-06-27,pc,EQUIP10091,2025-06-19,port testing,Средняя,Обнаружена port testing после 27 дней эксплуатации,Новая,0
M00115,2025-06-29,cisco_router,EQUIP53577,2025-06-27,port testing,Высокая,Обнаружена port testing после 30 дней эксплуатации,Новая,1000
M00116,2025-06-30,cisco_router,EQUIP65957,2025-05-14,dust cleaning,Средняя,Обнаружена dust cleaning после 2 дней эксплуатации,Решена,0
M00117,2025-07-01,pc,EQUIP26014,2025-06-24,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 29 дней эксплуатации,Новая,2000
M00118,2025-07-01,ip_phone,EQUIP95875,2025-06-22,software update,Средняя,Обнаружена software update после 16 дней эксплуатации,Новая,2000
M00119,2025-07-02,cisco_switch,EQUIP41544,2025-05-11,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 29 дней эксплуатации,В обработке,1000
M00120,2025-07-03,scaner,EQUIP19944,2025-06-12,dust cleaning,Низкая,Обнаружена dust cleaning после 10 дней эксплуатации,В обработке,2000
M00121,2025-07-03,printer,EQUIP35043,2025-05-23,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 9 дней эксплуатации,В обработке,5000
M00122,2025-07-04,ip_phone,EQUIP26281,2025-04-21,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 23 дней эксплуатации,В обработке,1000
M00123,2025-07-06,nas,EQUIP18329,2025-06-07,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 27 дней эксплуатации,Решена,5000
M00124,2025-07-06,nas,EQUIP75120,2025-06-01,port testing,Высокая,Обнаружена port testing после 5 дней эксплуатации,Решена,5000
M00125,2025-07-06,printer,EQUIP71250,2025-06-01,port testing,Высокая,Обнаружена port testing после 28 дней эксплуатации,Решена,10000
M00126,2025-07-07,printer,EQUIP29682,2025-05-09,error log analysis,Высокая,Обнаружена error log analysis после 11 дней эксплуатации,Отклонена,0
M00127,2025-07-09,cisco_switch,EQUIP91080,2025-05-06,port testing,Средняя,Обнаружена port testing после 26 дней эксплуатации,В обработке,5000
M00128,2025-07-09,cisco_switch,EQUIP32465,2025-05-08,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 23 дней эксплуатации,Решена,0
M00129,2025-07-11,cisco_switch,EQUIP79789,2025-05-25,error log analysis,Низкая,Обнаружена error log analysis после 11 дней эксплуатации,Отклонена,0
M00130,2025-07-13,cisco_router,EQUIP36211,2025-04-15,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 8 дней эксплуатации,Отклонена,10000
M00131,2025-07-13,scaner,EQUIP70609,2025-04-23,software update,Низкая,Обнаружена software update после 18 дней эксплуатации,В обработке,10000
M00132,2025-07-15,ip_phone,EQUIP71125,2025-06-13,software update,Высокая,Обнаружена software update после 16 дней эксплуатации,Отклонена,5000
M00133,2025-07-16,printer,EQUIP78710,2025-06-10,software update,Средняя,Обнаружена software update после 11 дней эксплуатации,Новая,1000
M00134,2025-07-17,ip_phone,EQUIP97720,2025-06-26,software update,Высокая,Обнаружена software update после 19 дней эксплуатации,Новая,0
M00135,2025-07-19,nas,EQUIP52583,2025-07-07,port testing,Средняя,Обнаружена port testing после 29 дней эксплуатации,Отклонена,2000
M00136,2025-07-20,scaner,EQUIP60299,2025-04-27,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 11 дней эксплуатации,Решена,10000
M00137,2025-07-22,cisco_switch,EQUIP58740,2025-05-11,port testing,Низкая,Обнаружена port testing после 27 дней эксплуатации,Новая,2000
M00138,2025-07-22,scaner,EQUIP69267,2025-05-01,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 28 дней эксплуатации,Решена,1000
M00139,2025-07-24,cisco_router,EQUIP14871,2025-05-12,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 18 дней эксплуатации,В обработке,0
M00140,2025-07-25,printer,EQUIP73004,2025-06-24,dust cleaning,Высокая,Обнаружена dust cleaning после 8 дней эксплуатации,В обработке,5000
M00141,2025-07-25,pc,EQUIP23623,2025-06-09,dust cleaning,Высокая,Обнаружена dust cleaning после 25 дней эксплуатации,В обработке,0
M00142,2025-07-25,printer,EQUIP76449,2025-06-29,error log analysis,Высокая,Обнаружена error log analysis после 8 дней эксплуатации,Решена,5000
M00143,2025-07-25,ip_phone,EQUIP31002,2025-06-10,dust cleaning,Высокая,Обнаружена dust cleaning после 11 дней эксплуатации,В обработке,1000
M00144,2025-07-25,cisco_switch,EQUIP92253,2025-06-19,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 11 дней эксплуатации,Новая,0
M00145,2025-07-27,printer,EQUIP76337,2025-07-14,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 25 дней эксплуатации,Решена,0
M00146,2025-07-28,cisco_switch,EQUIP97092,2025-07-22,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 9 дней эксплуатации,Отклонена,1000
M00147,2025-07-28,cisco_switch,EQUIP50516,2025-07-10,software update,Средняя,Обнаружена software update после 24 дней эксплуатации,Отклонена,10000
M00148,2025-07-28,nas,EQUIP16435,2025-07-04,software update,Высокая,Обнаружена software update после 25 дней эксплуатации,Отклонена,2000
M00149,2025-07-30,pc,EQUIP82260,2025-05-26,port testing,Средняя,Обнаружена port testing после 16 дней эксплуатации,Отклонена,2000
M00150,2025-07-30,cisco_switch,EQUIP66083,2025-07-05,software update,Средняя,Обнаружена software update после 27 дней эксплуатации,В обработке,5000
M00151,2025-08-01,nas,EQUIP52488,2025-05-03,dust cleaning,Высокая,Обнаружена dust cleaning после 22 дней эксплуатации,Отклонена,10000
M00152,2025-08-03,cisco_switch,EQUIP27737,2025-05-23,dust cleaning,Средняя,Обнаружена dust cleaning после 15 дней эксплуатации,В обработке,2000
M00153,2025-08-05,pc,EQUIP47951,2025-07-14,software update,Низкая,Обнаружена software update после 7 дней эксплуатации,Новая,0
M00154,2025-08-06,cisco_router,EQUIP36151,2025-08-03,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 17 дней эксплуатации,Решена,10000
M00155,2025-08-08,cisco_router,EQUIP30607,2025-06-28,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 27 дней эксплуатации,В обработке,0
M00156,2025-08-10,printer,EQUIP76366,2025-05-29,software update,Средняя,Обнаружена software update после 29 дней эксплуатации,Новая,0
M00157,2025-08-12,cisco_router,EQUIP65389,2025-06-01,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 17 дней эксплуатации,Решена,1000
M00158,2025-08-13,cisco_switch,EQUIP47063,2025-07-21,dust cleaning,Низкая,Обнаружена dust cleaning после 28 дней эксплуатации,Отклонена,0
M00159,2025-08-13,cisco_router,EQUIP32565,2025-06-19,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 19 дней эксплуатации,Новая,0
M00160,2025-08-15,cisco_switch,EQUIP84237,2025-07-18,error log analysis,Низкая,Обнаружена error log analysis после 16 дней эксплуатации,Отклонена,1000
M00161,2025-08-15,ip_phone,EQUIP10535,2025-08-12,error log analysis,Средняя,Обнаружена error log analysis после 24 дней эксплуатации,Отклонена,1000
M00162,2025-08-15,cisco_switch,EQUIP82838,2025-05-31,software update,Высокая,Обнаружена software update после 7 дней эксплуатации,Отклонена,1000
M00163,2025-08-16,printer,EQUIP24656,2025-07-14,software update,Низкая,Обнаружена software update после 2 дней эксплуатации,Решена,10000
M00164,2025-08-18,printer,EQUIP29557,2025-08-13,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 26 дней эксплуатации,Решена,0
M00165,2025-08-18,cisco_router,EQUIP55997,2025-05-25,dust cleaning,Высокая,Обнаружена dust cleaning после 10 дней эксплуатации,Отклонена,1000
M00166,2025-08-20,cisco_router,EQUIP98459,2025-07-19,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 4 дней эксплуатации,Решена,0
M00167,2025-08-21,printer,EQUIP21388,2025-05-24,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 27 дней эксплуатации,В обработке,0
M00168,2025-08-22,cisco_router,EQUIP20291,2025-06-02,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 6 дней эксплуатации,Новая,5000
M00169,2025-08-23,cisco_router,EQUIP47739,2025-07-29,dust cleaning,Средняя,Обнаружена dust cleaning после 26 дней эксплуатации,В обработке,0
M00170,2025-08-23,scaner,EQUIP93201,2025-08-21,error log analysis,Высокая,Обнаружена error log analysis после 19 дней эксплуатации,Новая,0
M00171,2025-08-23,cisco_router,EQUIP81669,2025-06-19,software update,Средняя,Обнаружена software update после 22 дней эксплуатации,В обработке,0
M00172,2025-08-24,cisco_router,EQUIP56803,2025-07-01,error log analysis,Низкая,Обнаружена error log analysis после 17 дней эксплуатации,Новая,2000
M00173,2025-08-24,printer,EQUIP69870,2025-07-08,error log analysis,Средняя,Обнаружена error log analysis после 11 дней эксплуатации,Новая,10000
M00174,2025-08-24,cisco_switch,EQUIP25384,2025-07-12,port testing,Средняя,Обнаружена port testing после 2 дней эксплуатации,Решена,5000
M00175,2025-08-24,scaner,EQUIP28794,2025-07-06,hardware diagnostics,Низкая,Обнаружена hardware diagnostics после 16 дней эксплуатации,В обработке,5000
M00176,2025-08-25,scaner,EQUIP84712,2025-08-13,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 6 дней эксплуатации,Новая,10000
M00177,2025-08-27,pc,EQUIP23449,2025-06-16,error log analysis,Высокая,Обнаружена error log analysis после 23 дней эксплуатации,Новая,10000
M00178,2025-08-28,cisco_switch,EQUIP45857,2025-06-26,hardware diagnostics,Высокая,Обнаружена hardware diagnostics после 30 дней эксплуатации,Решена,5000
M00179,2025-08-29,nas,EQUIP12872,2025-07-24,error log analysis,Средняя,Обнаружена error log analysis после 7 дней эксплуатации,Новая,2000
M00180,2025-08-31,pc,EQUIP45830,2025-08-30,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 28 дней эксплуатации,Новая,5000
M00181,2025-08-31,printer,EQUIP72895,2025-08-16,thermalpaste replace,Высокая,Обнаружена thermalpaste replace после 2 дней эксплуатации,Отклонена,5000
M00182,2025-09-02,cisco_router,EQUIP17531,2025-06-28,error log analysis,Средняя,Обнаружена error log analysis после 12 дней эксплуатации,Решена,2000
M00183,2025-09-02,cisco_switch,EQUIP40271,2025-07-06,software update,Низкая,Обнаружена software update после 19 дней эксплуатации,В обработке,5000
M00184,2025-09-04,pc,EQUIP11677,2025-07-19,error log analysis,Средняя,Обнаружена error log analysis после 1 дней эксплуатации,В обработке,1000
M00185,2025-09-06,nas,EQUIP21306,2025-08-15,thermalpaste replace,Средняя,Обнаружена thermalpaste replace после 10 дней эксплуатации,Новая,5000
M00186,2025-09-07,ip_phone,EQUIP62795,2025-08-05,hardware diagnostics,Средняя,Обнаружена hardware diagnostics после 13 дней эксплуатации,В обработке,1000
M00187,2025-09-07,nas,EQUIP12005,2025-06-11,port testing,Средняя,Обнаружена port testing после 21 дней эксплуатации,В обработке,5000
M00188,2025-09-09,printer,EQUIP12340,2025-06-26,thermalpaste replace,Низкая,Обнаружена thermalpaste replace после 29 дней эксплуатации,В обработке,5000
